PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Role_In_Prev_Club_Index,Starts,Goals_Against,Shots_on_Target_Against,Saves,Saves_Pct,Clean_Sheets,Clean_Sheets_Pct,Performance_Index,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success
paulo gazzaniga,Goalkeeper,31.0,23/24,fulham,girona,3000000.0,0.0,0.0,0.5266,28,2520.0,28,73.68421052631578,28,37,125,87,73.6,4,14.3,66.40679270591261,0,4,5,0,0
james trafford,Goalkeeper,20.0,23/24,man city,burnley,15000000.0,17300000.0,0.0,0.0,24,2205.0,24,63.1578947368421,24,45,128,84,69.1,3,13.0,64.06164846069218,1,1,4,4,1
michele cerofolini,Goalkeeper,24.0,23/24,fiorentina,frosinone,500000.0,0.0,0.2605473684210527,0.5993,5,450.0,5,13.157894736842104,5,3,11,8,81.8,2,40.0,57.30607461650805,0,3,5,2,0
florian muller,Goalkeeper,24.0,23/24,stuttgart,freiburg,1500000.0,1500000.0,0.0,0.0,19,1710.0,19,50.0,19,34,87,53,62.1,1,5.3,40.98869845667471,0,3,3,0,0
finn dahmen,Goalkeeper,25.0,23/24,mainz,augsburg,2500000.0,0.0,0.0,0.0,8,720.0,8,21.052631578947366,8,16,44,26,65.9,0,0.0,24.539127378905484,0,3,3,0,0
ivo grbic,Goalkeeper,27.0,23/24,atlético,sheffield utd,3500000.0,2500000.0,0.0,0.0,12,922.0,10,26.31578947368421,10,12,48,36,81.3,2,20.0,50.90168505907539,0,1,5,4,1
vicente guaita,Goalkeeper,36.0,23/24,crystal palace,celta vigo,1000000.0,0.0,0.0,0.0,27,2430.0,27,71.05263157894737,27,34,116,84,72.4,6,22.2,70.0413447518329,0,3,3,1,0
alessio cragno,Goalkeeper,29.0,23/24,cagliari,monza,3000000.0,3600000.0,0.1006822966507176,0.4347,1,90.0,1,2.631578947368421,1,3,5,2,40.0,0,0.0,0.0,0,4,5,0,1
rjan nyland,Goalkeeper,32.0,23/24,leipzig,sevilla fc,600000.0,0.0,0.2744736842105263,0.0,2,180.0,2,5.263157894736842,2,2,5,4,60.0,1,50.0,53.997189997685815,0,1,2,0,0
adrian,Goalkeeper,37.0,24/25,liverpool,real betis,600000.0,0.0,0.0,0.0,8,717.5,8,21.052631578947366,8,12,42,29,74.7,2,19.9,45.79858396961967,1,1,3,2,0
aaron ramsdale,Goalkeeper,26.0,24/25,arsenal,southampton,25000000.0,21400000.0,0.0,0.0,6,540.0,6,15.789473684210526,6,5,14,9,64.3,2,33.3,43.99476085504766,0,1,4,3,0
odysseas vlachodimos,Goalkeeper,30.0,24/25,nott'm forest,newcastle,7000000.0,23600000.0,0.0,0.0,5,450.0,5,13.157894736842104,5,12,22,10,50.0,1,20.0,27.895239956772333,0,5,3,-1,1
anthony lopes,Goalkeeper,33.0,24/25,lyon,nantes,1500000.0,0.0,0.0,0.0,31,2790.0,31,81.57894736842105,31,49,155,106,71.0,9,29.0,87.70482065726617,0,1,3,2,1
giorgi mamardashvili,Goalkeeper,23.0,24/25,valencia,liverpool,45000000.0,30000000.0,0.0,0.0,37,3284.0,36,96.05263157894736,37,41,145,103,73.8,13,35.1,91.31649879234443,0,3,1,-3,1
ionut radu,Goalkeeper,27.0,24/25,inter,venezia,1500000.0,0.0,0.27472,0.5863,2,180.0,2,5.263157894736842,2,7,11,4,36.4,0,0.0,0.1827224249273769,0,1,5,4,0
stole dimitrievski,Goalkeeper,30.0,24/25,rayo vallecano,valencia,4000000.0,0.0,0.0,0.0,37,3330.0,37,97.36842105263158,37,47,150,104,69.3,13,35.1,90.7582776739966,0,4,3,0,1
filip jrgensen,Goalkeeper,22.0,24/25,villarreal,chelsea,20000000.0,24500000.0,0.0,0.0,36,3240.0,36,94.73684210526316,36,63,205,143,72.2,6,16.7,93.05279331558962,0,2,1,-2,1
pepe reina,Goalkeeper,41.0,24/25,villarreal,como,600000.0,0.0,0.0,0.0,2,180.0,2,5.263157894736842,2,2,9,7,77.8,0,0.0,19.16294174505252,0,2,5,1,0
brice samba,Goalkeeper,30.0,24/25,lens,rennes jugend,15000000.0,14000000.0,0.0,0.0,33,2970.0,33,86.84210526315789,33,35,136,101,78.7,14,42.4,97.30608813742036,0,5,2,-1,1
pierluigi gollini,Goalkeeper,29.0,24/25,atalanta,roma,2500000.0,800000.0,0.3473801889338731,0.3027,7,630.0,7,18.421052631578945,7,8,24,16,66.7,1,14.3,31.3589239592044,0,2,1,0,1
sam johnstone,Goalkeeper,31.0,24/25,crystal palace,wolves,10000000.0,11900000.0,0.0,0.0,20,1796.0,20,52.63157894736842,20,27,67,41,62.7,6,30.0,56.97475352100372,0,3,4,1,1
mathew ryan,Goalkeeper,32.0,24/25,roma,lens,2500000.0,800000.0,0.0,0.0,10,950.4545454545456,11,28.94736842105264,11,13,41,29,68.5,3,28.9,50.56156177825628,1,1,5,1,0
denis petric,Goalkeeper,36.0,24/25,nantes,lens,100000.0,0.0,0.0,0.0,18,1486.0,16,43.42105263157895,17,23,51,29,58.8,6,35.3,54.812628683353154,1,3,5,1,0
