PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Loan_Index,Injury_Index,Performance_Index,Role_In_Prev_Club_Index,Delta_Club_Rank,Transfer_Success
frank tsadjout,Centre-Forward,24.0,22/23,ac milan,cremonese,900000.0,400000.0,0.0,0.0,11.431144795121032,38.89492820621213,4,0
anthony gordon,Left Winger,21.0,22/23,everton,newcastle,40000000.0,45600000.0,0.0,0.0,25.18333075614687,66.49262043998885,0,1
kamaldeen sulemana,Left Winger,20.0,22/23,rennes jugend,southampton,18000000.0,25000000.0,0.0,0.0,19.2343257538421,29.42077415761627,2,1
kenedy,Left Winger,25.0,22/23,chelsea,real valladolid,7000000.0,500000.0,0.0,0.0,3.843398323779178,27.489872356711835,4,0
divock origi,Centre-Forward,27.0,22/23,liverpool,ac milan,12000000.0,0.0,0.0,0.0,5.239344459722152,1.9841269841269844,0,0
pablo sarabia,Right Winger,30.0,22/23,paris sg,wolves,20000000.0,5000000.0,0.0,0.0,0.7807711548186286,0.2645502645502646,3,0
riccardo ciervo,Left Winger,20.0,22/23,roma,sassuolo,1500000.0,2000000.0,0.1755,0.0,29.02707162005932,48.962535496041646,2,0
richarlison,Centre-Forward,25.0,22/23,everton,tottenham,48000000.0,58000000.0,0.0,0.0,35.490838708748406,73.87914230019493,-1,1
felix afena-gyan,Left Winger,19.0,22/23,roma,cremonese,6000000.0,6000000.0,0.0,0.0,4.521292313168904,17.68309663046505,4,1
raphinha,Left Winger,25.0,22/23,leeds united,barcelona,45000000.0,58000000.0,0.0,0.0,51.24930142376616,87.59398496240601,-4,1
raul de tomas,Centre-Forward,27.0,22/23,espanyol,rayo vallecano,25000000.0,11000000.0,0.0,0.0,53.127335929474114,86.27819548872179,1,1
edinson cavani,Centre-Forward,35.0,22/23,man utd,valencia,4000000.0,0.0,0.0,0.0,7.445324511493601,20.45391255917572,2,0
andrea belotti,Centre-Forward,28.0,22/23,torino,roma,20000000.0,0.0,0.0,0.0,20.612627472389608,41.15845168476747,-2,0
manu vallejo,Centre-Forward,25.0,22/23,valencia,girona,3000000.0,0.0,0.3845,0.0,6.135383966171616,9.5098858256753,2,0
vedat muriqi,Centre-Forward,28.0,22/23,lazio,rcd mallorca,7000000.0,8020000.0,0.0,0.0,20.87760927395899,46.70704539125591,2,0
