Rk,Player,Save%,Season,Age,Nation,Team,Comp,Playing Time MP,Playing Time Min,Playing Time 90s,Playing Time Starts,Playing Time Subs,Playing Time unSub,Performance GA,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Pos
1,Miguel Ángel Moyá,66.7,18-19,34,es ESP,Real Sociedad,es La Liga,11,990,11.0,11,0,22,11,33,22,66.7,3.0,2.0,6,2.0,18.2,GK
2,Wojciech Szczęsny,76.5,18-19,28,pl POL,Juventus,it Serie A,28,2520,28.0,28,0,10,20,81,61,76.5,22.0,5.0,1,11.0,39.3,GK
3,Emiliano Viviano,75.0,18-19,32,it ITA,SPAL,it Serie A,17,1524,16.9,17,0,2,25,84,59,75.0,7.0,3.0,7,3.0,17.6,GK
4,Stefano Sorrentino,65.3,18-19,39,it ITA,Chievo,it Serie A,31,2789,31.0,31,0,0,60,167,107,65.3,1.0,11.0,19,5.0,16.1,GK
5,Jasper Cillessen,78.6,18-19,29,nl NED,Barcelona,es La Liga,3,270,3.0,3,0,27,4,14,10,78.6,1.0,1.0,1,1.0,33.3,GK
6,Bartłomiej Drągowski,77.9,18-19,20,pl POL,2 Teams,it Serie A,17,1485,16.5,16,1,18,26,104,77,77.9,5.0,3.0,8,4.0,25.0,GK
7,Gianluigi Donnarumma,77.8,18-19,19,it ITA,Milan,it Serie A,36,3090,34.3,36,0,0,31,126,95,77.8,18.0,11.0,7,11.0,30.6,GK
8,Jiří Pavlenka,71.2,18-19,26,cz CZE,Werder Bremen,de Bundesliga,34,2977,33.1,34,0,0,47,153,106,71.2,14.0,11.0,9,5.0,14.7,GK
9,Francesco Bardi,58.3,18-19,26,it ITA,Frosinone,it Serie A,3,270,3.0,3,0,26,5,12,7,58.3,0.0,1.0,2,1.0,33.3,GK
10,Alexander Schwolow,68.8,18-19,26,de GER,Freiburg,de Bundesliga,33,2970,33.0,33,0,1,60,170,110,68.8,7.0,12.0,14,5.0,15.2,GK
11,Marcus Bettinelli,52.5,18-19,26,eng ENG,Fulham,eng Premier League,7,630,7.0,7,0,15,20,40,19,52.5,1.0,2.0,4,0.0,0.0,GK
12,Maxime Dupé,55.9,18-19,25,fr FRA,Nantes,fr Ligue 1,11,940,10.4,10,1,25,17,34,16,55.9,5.0,3.0,2,1.0,10.0,GK
13,Salvatore Sirigu,75.7,18-19,31,it ITA,Torino,it Serie A,36,3169,35.2,36,0,0,35,136,99,75.7,15.0,14.0,7,14.0,38.9,GK
14,Aleksandar Jovanović,63.0,18-19,25,rs SRB,Huesca,es La Liga,12,1080,12.0,12,0,20,19,46,28,63.0,1.0,4.0,7,0.0,0.0,GK
15,Mauro Goicoechea,68.6,18-19,30,uy URU,Toulouse,fr Ligue 1,8,713,7.9,7,1,26,12,35,23,68.6,2.0,3.0,2,3.0,42.9,GK
16,Javier Díaz,100.0,18-19,21,es ESP,Sevilla,es La Liga,1,90,1.0,1,0,3,1,2,1,100.0,0.0,0.0,1,0.0,0.0,GK
17,Alberto García,60.9,18-19,33,es ESP,Rayo Vallecano,es La Liga,17,1530,17.0,17,0,21,35,87,50,60.9,3.0,4.0,10,4.0,23.5,GK
18,Thibaut Courtois,71.2,18-19,26,be BEL,Real Madrid,es La Liga,27,2430,27.0,27,0,5,36,104,67,71.2,14.0,3.0,10,8.0,29.6,GK
19,Michel Vorm,69.2,18-19,34,nl NED,Tottenham,eng Premier League,2,180,2.0,2,0,4,4,13,9,69.2,0.0,0.0,2,0.0,0.0,GK
20,Steve Mandanda,69.9,18-19,33,fr FRA,Marseille,fr Ligue 1,31,2735,30.4,31,0,1,40,113,72,69.9,14.0,5.0,12,9.0,29.0,GK
21,Ralf Fährmann,71.1,18-19,29,de GER,Schalke 04,de Bundesliga,17,1470,16.3,16,1,9,26,83,58,71.1,4.0,3.0,9,3.0,18.8,GK
22,Luca Plogmann,100.0,18-19,18,de GER,Werder Bremen,de Bundesliga,1,38,0.4,0,1,16,1,1,0,100.0,0.0,0.0,0,0.0,,GK
23,Pau López,67.2,18-19,23,es ESP,Betis,es La Liga,33,2970,33.0,33,0,5,47,134,86,67.2,12.0,7.0,14,10.0,30.3,GK
24,Benoît Costil,76.3,18-19,31,fr FRA,Bordeaux,fr Ligue 1,37,3330,37.0,37,0,1,42,152,109,76.3,9.0,11.0,17,9.0,24.3,GK
25,Zacharie Boucher,75.0,18-19,26,fr FRA,Angers,fr Ligue 1,2,180,2.0,2,0,30,1,4,3,75.0,1.0,1.0,0,1.0,50.0,GK
26,Bernd Leno,75.9,18-19,26,de GER,Arsenal,eng Premier League,32,2836,31.5,31,1,6,42,145,104,75.9,16.0,7.0,8,7.0,22.6,GK
27,Abdoulaye Diallo,85.0,18-19,26,sn SEN,Rennes,fr Ligue 1,6,495,5.5,6,0,16,4,20,16,85.0,3.0,2.0,1,2.0,33.3,GK
28,Neil Etheridge,68.6,18-19,28,ph PHI,Cardiff City,eng Premier League,38,3420,38.0,38,0,0,69,207,135,68.6,10.0,4.0,24,10.0,26.3,GK
29,Ludovic Butelle,72.0,18-19,35,fr FRA,Angers,fr Ligue 1,36,3239,36.0,36,0,0,48,161,113,72.0,9.0,15.0,12,11.0,30.6,GK
30,Gorka Iraizoz,79.5,18-19,37,es ESP,Girona,es La Liga,7,559,6.2,6,1,27,10,39,30,79.5,1.0,0.0,5,1.0,16.7,GK
31,Ivan Provedel,68.3,18-19,24,it ITA,Empoli,it Serie A,16,1440,16.0,16,0,22,36,104,69,68.3,4.0,4.0,8,0.0,0.0,GK
32,Rune Jarstein,67.8,18-19,33,no NOR,Hertha BSC,de Bundesliga,31,2745,30.5,31,0,0,48,143,96,67.8,9.0,10.0,12,8.0,25.8,GK
33,Jessy Moulin,80.0,18-19,32,fr FRA,Saint-Étienne,fr Ligue 1,1,90,1.0,1,0,37,1,5,5,80.0,0.0,1.0,0,0.0,0.0,GK
34,Kepa Arrizabalaga,68.6,18-19,23,es ESP,Chelsea,eng Premier League,36,3240,36.0,36,0,2,39,121,81,68.6,20.0,8.0,8,14.0,38.9,GK
35,Paul Bernardoni,70.0,18-19,21,fr FRA,Nîmes,fr Ligue 1,38,3420,38.0,38,0,0,58,180,122,70.0,15.0,8.0,15,10.0,26.3,GK
36,Marwin Hitz,33.3,18-19,30,ch SUI,Dortmund,de Bundesliga,2,180,2.0,2,0,31,4,6,2,33.3,2.0,0.0,0,0.0,0.0,GK
37,Alphonse Areola,80.3,18-19,25,fr FRA,Paris S-G,fr Ligue 1,21,1890,21.0,21,0,13,17,66,50,80.3,16.0,3.0,2,11.0,52.4,GK
38,Benjamin Lecomte,72.7,18-19,27,fr FRA,Montpellier,fr Ligue 1,37,3330,37.0,37,0,0,42,143,102,72.7,15.0,13.0,9,11.0,29.7,GK
39,Antonio Mirante,84.2,18-19,35,it ITA,Roma,it Serie A,11,990,11.0,11,0,24,6,38,31,84.2,6.0,4.0,1,6.0,54.5,GK
40,Andriy Lunin,78.9,18-19,19,ua UKR,Leganés,es La Liga,5,365,4.1,4,1,25,5,19,13,78.9,1.0,0.0,3,2.0,50.0,GK
41,Andrés Fernández,73.9,18-19,31,es ESP,Villarreal,es La Liga,6,540,6.0,6,0,32,7,23,16,73.9,3.0,2.0,1,2.0,33.3,GK
42,Edouard Mendy,76.7,18-19,26,sn SEN,Reims,fr Ligue 1,38,3420,38.0,38,0,0,42,150,110,76.7,13.0,16.0,9,14.0,36.8,GK
43,Thomas Strakosha,74.2,18-19,23,al ALB,Lazio,it Serie A,35,3150,35.0,35,0,0,39,132,95,74.2,16.0,7.0,12,10.0,28.6,GK
44,Luigi Sepe,74.1,18-19,27,it ITA,Parma,it Serie A,37,3330,37.0,37,0,1,59,197,142,74.1,10.0,11.0,16,10.0,27.0,GK
45,Artur Boruc,73.2,18-19,38,pl POL,Bournemouth,eng Premier League,12,1080,12.0,12,0,26,18,56,38,73.2,4.0,3.0,5,4.0,33.3,GK
46,Alex McCarthy,64.7,18-19,28,eng ENG,Southampton,eng Premier League,25,2250,25.0,25,0,8,44,119,78,64.7,5.0,8.0,12,4.0,16.0,GK
47,Dimitry Bertaud,100.0,18-19,20,cd COD,Montpellier,fr Ligue 1,1,90,1.0,1,0,30,0,1,1,100.0,0.0,1.0,0,1.0,100.0,GK
48,Martin Dúbravka,70.0,18-19,29,sk SVK,Newcastle Utd,eng Premier League,38,3420,38.0,38,0,0,48,140,93,70.0,12.0,9.0,17,11.0,28.9,GK
49,Ederson,76.5,18-19,24,br BRA,Manchester City,eng Premier League,38,3420,38.0,38,0,0,23,81,58,76.5,32.0,2.0,4,20.0,52.6,GK
50,Simone Scuffet,68.4,18-19,22,it ITA,Udinese,it Serie A,9,810,9.0,9,0,10,13,38,25,68.4,2.0,2.0,5,2.0,22.2,GK
51,Yann Sommer,75.0,18-19,29,ch SUI,Gladbach,de Bundesliga,34,3060,34.0,34,0,0,42,156,114,75.0,16.0,7.0,11,13.0,38.2,GK
52,Mathew Ryan,69.1,18-19,26,au AUS,Brighton,eng Premier League,34,3060,34.0,34,0,0,55,152,96,69.1,8.0,8.0,18,6.0,17.6,GK
53,Oliver Baumann,72.9,18-19,28,de GER,Hoffenheim,de Bundesliga,33,2970,33.0,33,0,0,51,166,116,72.9,12.0,12.0,9,5.0,15.2,GK
54,Jordan Pickford,67.6,18-19,24,eng ENG,Everton,eng Premier League,38,3420,38.0,38,0,0,46,136,89,67.6,15.0,9.0,14,14.0,36.8,GK
55,Christian Mathenia,67.8,18-19,26,de GER,Nürnberg,de Bundesliga,22,1932,21.5,22,0,7,40,118,80,67.8,1.0,7.0,14,2.0,9.1,GK
56,Mattia Perin,74.1,18-19,25,it ITA,Juventus,it Serie A,9,810,9.0,9,0,21,8,27,19,74.1,6.0,1.0,2,5.0,55.6,GK
57,Mathieu Gorgelin,66.7,18-19,27,fr FRA,Lyon,fr Ligue 1,4,360,4.0,4,0,33,5,15,10,66.7,3.0,0.0,1,1.0,25.0,GK
58,Alban Lafont,72.7,18-19,19,ci CIV,Fiorentina,it Serie A,34,3015,33.5,34,0,3,40,128,90,72.7,8.0,15.0,11,8.0,23.5,GK
59,Salvador Ichazo,88.9,18-19,26,uy URU,Torino,it Serie A,3,251,2.8,2,1,35,2,9,7,88.9,1.0,1.0,0,1.0,50.0,GK
60,Kasper Schmeichel,68.8,18-19,31,dk DEN,Leicester City,eng Premier League,38,3420,38.0,38,0,0,48,138,90,68.8,15.0,7.0,16,10.0,26.3,GK
61,Juan Soriano,90.9,18-19,20,es ESP,Sevilla,es La Liga,4,359,4.0,4,0,32,2,11,9,90.9,4.0,0.0,0,2.0,50.0,GK
62,Asier Riesgo,56.5,18-19,34,es ESP,Eibar,es La Liga,14,1260,14.0,14,0,21,20,46,27,56.5,2.0,8.0,4,4.0,28.6,GK
63,Robin Zentner,71.4,18-19,23,de GER,Mainz 05,de Bundesliga,10,900,10.0,10,0,24,14,49,35,71.4,4.0,4.0,2,2.0,20.0,GK
64,Unai Simón,66.7,18-19,21,es ESP,Athletic Club,es La Liga,7,630,7.0,7,0,31,13,33,20,66.7,1.0,4.0,2,0.0,0.0,GK
65,Marc-Aurèle Caillard,64.5,18-19,24,fr FRA,Guingamp,fr Ligue 1,21,1890,21.0,21,0,13,34,93,58,64.5,4.0,7.0,10,6.0,28.6,GK
66,Sergio Rico,68.5,18-19,24,es ESP,Fulham,eng Premier League,29,2610,29.0,29,0,6,56,165,111,68.5,6.0,3.0,20,5.0,17.2,GK
67,Brice Samba,75.1,18-19,24,fr FRA,Caen,fr Ligue 1,38,3420,38.0,38,0,0,54,193,139,75.1,7.0,12.0,19,9.0,23.7,GK
68,Yoel,58.3,18-19,29,es ESP,2 Teams,es La Liga,3,270,3.0,3,0,33,6,12,6,58.3,0.0,2.0,1,0.0,0.0,GK
69,Gerónimo Rulli,69.7,18-19,26,ar ARG,Real Sociedad,es La Liga,27,2430,27.0,27,0,11,35,109,75,69.7,10.0,9.0,8,7.0,25.9,GK
70,Stefanos Kapino,66.7,18-19,24,gr GRE,Werder Bremen,de Bundesliga,1,45,0.5,0,1,16,1,3,2,66.7,0.0,0.0,0,0.0,,GK
71,Paulo Gazzaniga,84.6,18-19,26,ar ARG,Tottenham,eng Premier League,3,270,3.0,3,0,32,2,13,11,84.6,2.0,0.0,1,1.0,33.3,GK
72,Emil Audero,70.1,18-19,21,id IDN,Sampdoria,it Serie A,36,3240,36.0,36,0,2,51,147,96,70.1,14.0,7.0,15,11.0,30.6,GK
73,Antonio Adán,71.4,18-19,31,es ESP,Atlético Madrid,es La Liga,1,90,1.0,1,0,35,2,7,5,71.4,0.0,1.0,0,0.0,0.0,GK
74,Ionuț Radu,72.5,18-19,21,ro ROU,Genoa,it Serie A,33,2970,33.0,33,0,4,46,149,102,72.5,6.0,14.0,13,6.0,18.2,GK
75,Marc-André ter Stegen,73.3,18-19,26,de GER,Barcelona,es La Liga,35,3150,35.0,35,0,1,32,116,85,73.3,25.0,8.0,2,16.0,45.7,GK
76,Petr Čech,75.7,18-19,36,cz CZE,Arsenal,eng Premier League,7,584,6.5,7,0,29,9,37,28,75.7,5.0,0.0,2,1.0,14.3,GK
77,Pierluigi Frattali,75.0,18-19,32,it ITA,Parma,it Serie A,1,90,1.0,1,0,37,2,8,7,75.0,0.0,0.0,1,0.0,0.0,GK
78,Diego López,73.7,18-19,36,es ESP,Espanyol,es La Liga,38,3420,38.0,38,0,0,50,167,117,73.7,14.0,11.0,13,10.0,26.3,GK
79,Philipp Tschauner,66.7,18-19,32,de GER,Hannover 96,de Bundesliga,1,90,1.0,1,0,16,3,6,3,66.7,0.0,0.0,1,0.0,0.0,GK
80,Samir Handanović,76.4,18-19,34,si SVN,Inter,it Serie A,38,3420,38.0,38,0,0,33,127,97,76.4,20.0,9.0,9,17.0,44.7,GK
81,Iván Cuéllar,68.7,18-19,34,es ESP,Leganés,es La Liga,34,3055,33.9,34,0,2,38,115,78,68.7,10.0,12.0,12,9.0,26.5,GK
82,Yohann Pelé,68.0,18-19,35,fr FRA,Marseille,fr Ligue 1,9,682,7.6,7,2,29,12,25,12,68.0,4.0,2.0,1,3.0,42.9,GK
83,Wayne Hennessey,66.7,18-19,31,wls WAL,Crystal Palace,eng Premier League,18,1576,17.5,17,1,15,26,69,42,66.7,4.0,3.0,10,5.0,29.4,GK
84,Guido Guerrieri,25.0,18-19,22,it ITA,Lazio,it Serie A,1,90,1.0,1,0,32,3,4,1,25.0,0.0,1.0,0,0.0,0.0,GK
85,Rui Patrício,68.8,18-19,30,pt POR,Wolves,eng Premier League,37,3329,37.0,37,0,0,46,138,96,68.8,15.0,9.0,13,7.0,18.9,GK
86,Alisson,77.1,18-19,25,br BRA,Liverpool,eng Premier League,38,3420,38.0,38,0,0,22,96,74,77.1,30.0,7.0,1,21.0,55.3,GK
87,Tomáš Vaclík,72.0,18-19,29,cz CZE,Sevilla,es La Liga,33,2970,33.0,33,0,0,44,143,98,72.0,13.0,8.0,12,8.0,24.2,GK
88,Asmir Begović,56.7,18-19,31,ba BIH,Bournemouth,eng Premier League,24,2160,24.0,24,0,12,47,104,59,56.7,8.0,3.0,13,5.0,20.8,GK
89,David de Gea,71.9,18-19,27,es ESP,Manchester Utd,eng Premier League,38,3420,38.0,38,0,0,54,171,120,71.9,19.0,9.0,10,7.0,18.4,GK
90,Sven Ulreich,69.6,18-19,29,de GER,Bayern Munich,de Bundesliga,9,758,8.4,8,1,25,9,23,14,69.6,4.0,3.0,1,2.0,25.0,GK
91,Andreas Luthe,71.8,18-19,31,de GER,Augsburg,de Bundesliga,15,1311,14.6,14,1,11,22,78,57,71.8,3.0,5.0,6,2.0,14.3,GK
92,Rafael Cabral,100.0,18-19,28,br BRA,Sampdoria,it Serie A,2,180,2.0,2,0,35,0,2,2,100.0,1.0,1.0,0,2.0,100.0,GK
93,David Ospina,69.4,18-19,29,co COL,Napoli,it Serie A,17,1457,16.2,16,1,16,20,62,42,69.4,9.0,4.0,3,5.0,31.3,GK
94,Matz Sels,72.3,18-19,26,be BEL,Strasbourg,fr Ligue 1,37,3330,37.0,37,0,1,48,148,99,72.3,10.0,16.0,11,8.0,21.6,GK
95,Michael Esser,71.5,18-19,30,de GER,Hannover 96,de Bundesliga,32,2880,32.0,32,0,1,66,214,148,71.5,5.0,6.0,21,5.0,15.6,GK
96,Seydou Sy,41.7,18-19,22,sn SEN,Monaco,fr Ligue 1,3,226,2.5,2,1,12,7,12,6,41.7,0.0,1.0,1,0.0,0.0,GK
97,Orestis Karnezis,77.8,18-19,33,gr GRE,Napoli,it Serie A,9,810,9.0,9,0,29,7,27,20,77.8,6.0,2.0,1,4.0,44.4,GK
98,Jandrei,66.7,18-19,25,br BRA,Genoa,it Serie A,1,90,1.0,1,0,17,1,3,2,66.7,0.0,0.0,1,0.0,0.0,GK
99,Manuel Neuer,64.3,18-19,32,de GER,Bayern Munich,de Bundesliga,26,2302,25.6,26,0,0,23,56,34,64.3,20.0,3.0,3,10.0,38.5,GK
100,Bobby Allain,77.8,18-19,26,fr FRA,Dijon,fr Ligue 1,13,1170,13.0,13,0,25,17,72,56,77.8,2.0,2.0,9,1.0,7.7,GK
101,Sergio Álvarez,65.5,18-19,31,es ESP,Celta Vigo,es La Liga,13,1170,13.0,13,0,25,22,58,37,65.5,3.0,5.0,5,2.0,15.4,GK
102,Walter Benítez,81.1,18-19,25,ar ARG,Nice,fr Ligue 1,35,3150,35.0,35,0,3,29,143,112,81.1,15.0,10.0,10,16.0,45.7,GK
103,Andrea Consigli,66.5,18-19,31,it ITA,Sassuolo,it Serie A,36,3213,35.7,36,0,1,56,155,98,66.5,9.0,15.0,12,12.0,33.3,GK
104,Julián Speroni,55.6,18-19,39,ar ARG,Crystal Palace,eng Premier League,1,90,1.0,1,0,4,4,9,5,55.6,0.0,0.0,1,0.0,0.0,GK
105,Hugo Lloris,76.9,18-19,31,fr FRA,Tottenham,eng Premier League,33,2970,33.0,33,0,0,33,130,98,76.9,21.0,2.0,10,12.0,36.4,GK
106,David Soria,77.4,18-19,25,es ESP,Getafe,es La Liga,37,3330,37.0,37,0,0,34,133,99,77.4,14.0,14.0,9,13.0,35.1,GK
107,Rúnar Alex Rúnarsson,58.6,18-19,23,is ISL,Dijon,fr Ligue 1,25,2250,25.0,25,0,12,43,99,56,58.6,7.0,5.0,13,5.0,20.0,GK
108,Jordi Masip,72.0,18-19,29,es ESP,Valladolid,es La Liga,35,3150,35.0,35,0,3,45,143,96,72.0,10.0,9.0,16,9.0,25.7,GK
109,Iago Herrerín,66.7,18-19,30,es ESP,Athletic Club,es La Liga,31,2790,31.0,31,0,1,32,87,55,66.7,12.0,10.0,9,10.0,32.3,GK
110,Łukasz Fabiański,74.2,18-19,33,pl POL,West Ham,eng Premier League,38,3420,38.0,38,0,0,55,198,143,74.2,15.0,7.0,16,7.0,18.4,GK
111,Jonas Lössl,64.5,18-19,29,dk DEN,Huddersfield,eng Premier League,31,2778,30.9,30,1,3,54,141,86,64.5,3.0,5.0,22,5.0,16.7,GK
112,Alex Meret,85.4,18-19,21,it ITA,Napoli,it Serie A,14,1151,12.8,13,1,11,9,48,39,85.4,9.0,1.0,3,5.0,38.5,GK
113,Yoan Cardinale,58.3,18-19,24,fr FRA,Nice,fr Ligue 1,3,270,3.0,3,0,6,6,12,6,58.3,0.0,1.0,2,0.0,0.0,GK
114,Rubén Blanco,67.0,18-19,23,es ESP,Celta Vigo,es La Liga,25,2250,25.0,25,0,12,40,109,69,67.0,7.0,6.0,12,6.0,24.0,GK
115,Fernando Pacheco,74.0,18-19,26,es ESP,Alavés,es La Liga,35,3150,35.0,35,0,1,46,154,110,74.0,11.0,11.0,13,8.0,22.9,GK
116,Antonio Sivera,69.2,18-19,21,es ESP,Alavés,es La Liga,3,270,3.0,3,0,33,4,13,9,69.2,2.0,0.0,1,0.0,0.0,GK
117,Roman Bürki,71.9,18-19,27,ch SUI,Dortmund,de Bundesliga,32,2880,32.0,32,0,0,40,128,88,71.9,21.0,7.0,4,10.0,31.3,GK
118,Sergio Asenjo,73.5,18-19,29,es ESP,Villarreal,es La Liga,32,2880,32.0,32,0,4,45,162,119,73.5,7.0,12.0,13,9.0,28.1,GK
119,Vanja Milinković-Savić,75.0,18-19,21,rs SRB,SPAL,it Serie A,2,164,1.8,2,0,16,4,16,12,75.0,1.0,0.0,1,0.0,0.0,GK
120,Aitor Fernández,75.9,18-19,27,es ESP,Levante,es La Liga,16,1440,16.0,16,0,21,24,83,60,75.9,4.0,5.0,7,2.0,12.5,GK
121,Ron-Robert Zieler,62.0,18-19,29,de GER,Stuttgart,de Bundesliga,34,3060,34.0,34,0,0,70,179,113,62.0,7.0,7.0,20,6.0,17.6,GK
122,Juan Musso,77.8,18-19,24,ar ARG,Udinese,it Serie A,29,2610,29.0,29,0,8,40,144,105,77.8,9.0,8.0,12,7.0,24.1,GK
123,Ramazan Özcan,66.7,18-19,34,at AUT,Leverkusen,de Bundesliga,2,180,2.0,2,0,31,5,12,7,66.7,0.0,0.0,2,0.0,0.0,GK
124,Willy Caballero,100.0,18-19,36,ar ARG,Chelsea,eng Premier League,2,180,2.0,2,0,36,0,3,3,100.0,1.0,1.0,0,2.0,100.0,GK
125,Eiji Kawashima,100.0,18-19,35,jp JPN,Strasbourg,fr Ligue 1,1,90,1.0,1,0,6,0,1,1,100.0,1.0,0.0,0,1.0,100.0,GK
126,Karl-Johan Johnsson,59.0,18-19,28,se SWE,Guingamp,fr Ligue 1,17,1530,17.0,17,0,19,34,78,43,59.0,1.0,5.0,11,4.0,23.5,GK
127,Tom Heaton,68.7,18-19,32,eng ENG,Burnley,eng Premier League,19,1710,19.0,19,0,19,27,83,59,68.7,8.0,4.0,7,4.0,21.1,GK
128,Frederik Rønnow,100.0,18-19,25,dk DEN,Eint Frankfurt,de Bundesliga,2,123,1.4,1,1,31,0,7,7,100.0,1.0,0.0,0,1.0,100.0,GK
129,Mark Flekken,80.0,18-19,25,nl NED,Freiburg,de Bundesliga,1,90,1.0,1,0,27,1,5,4,80.0,1.0,0.0,0,0.0,0.0,GK
130,Neto,80.6,18-19,29,br BRA,Valencia,es La Liga,34,3060,34.0,34,0,3,34,139,106,80.6,13.0,14.0,7,10.0,29.4,GK
131,Vicente Guaita,74.1,18-19,31,es ESP,Crystal Palace,eng Premier League,20,1754,19.5,20,0,17,23,85,63,74.1,10.0,4.0,6,7.0,35.0,GK
132,Łukasz Skorupski,69.9,18-19,27,pl POL,Bologna,it Serie A,38,3420,38.0,38,0,0,56,173,118,69.9,11.0,11.0,16,10.0,26.3,GK
133,Marko Dmitrović,68.6,18-19,26,rs SRB,Eibar,es La Liga,24,2160,24.0,24,0,5,30,86,55,68.6,9.0,6.0,9,5.0,20.8,GK
134,Marco Sportiello,70.6,18-19,26,it ITA,Frosinone,it Serie A,35,3150,35.0,35,0,0,64,201,138,70.6,5.0,9.0,21,8.0,22.9,GK
135,Lukáš Hrádecký,65.4,18-19,28,fi FIN,Leverkusen,de Bundesliga,32,2880,32.0,32,0,1,47,127,81,65.4,18.0,4.0,10,9.0,28.1,GK
136,Fabricio,76.2,18-19,30,es ESP,Fulham,eng Premier League,2,180,2.0,2,0,17,5,21,16,76.2,0.0,0.0,2,0.0,0.0,GK
137,Alexander Nübel,68.7,18-19,21,de GER,Schalke 04,de Bundesliga,18,1588,17.6,18,0,14,29,83,53,68.7,4.0,6.0,8,4.0,22.2,GK
138,Ciprian Tătărușanu,69.5,18-19,32,ro ROU,Nantes,fr Ligue 1,27,2390,26.6,27,0,1,30,95,62,69.5,8.0,6.0,13,7.0,25.9,GK
139,Oier Olazábal,73.3,18-19,28,es ESP,Levante,es La Liga,21,1890,21.0,21,0,14,40,135,95,73.3,7.0,5.0,9,5.0,23.8,GK
140,Joel Coleman,66.7,18-19,22,eng ENG,Huddersfield,eng Premier League,1,90,1.0,1,0,7,1,3,2,66.7,0.0,1.0,0,0.0,0.0,GK
141,Diego Benaglio,63.5,18-19,34,ch SUI,Monaco,fr Ligue 1,23,2058,22.9,22,1,11,38,96,57,63.5,4.0,6.0,12,4.0,18.2,GK
142,Thomas Kraft,56.3,18-19,30,de GER,Hertha BSC,de Bundesliga,4,315,3.5,3,1,26,9,16,7,56.3,2.0,0.0,1,1.0,33.3,GK
143,Régis Gurtner,72.3,18-19,31,fr FRA,Amiens,fr Ligue 1,38,3420,38.0,38,0,0,52,166,114,72.3,9.0,11.0,18,11.0,28.9,GK
144,Roberto Santamaría,75.0,18-19,33,es ESP,Huesca,es La Liga,20,1800,20.0,20,0,10,30,96,67,75.0,5.0,7.0,8,6.0,30.0,GK
145,Péter Gulácsi,80.3,18-19,28,hu HUN,RB Leipzig,de Bundesliga,33,2925,32.5,33,0,0,27,117,91,80.3,19.0,9.0,5,15.0,45.5,GK
146,Baptiste Reynet,71.3,18-19,27,fr FRA,Toulouse,fr Ligue 1,31,2704,30.0,31,0,2,45,143,98,71.3,6.0,11.0,14,6.0,19.4,GK
147,Koke Vegas,75.0,18-19,22,es ESP,Levante,es La Liga,1,90,1.0,1,0,3,2,8,6,75.0,0.0,1.0,0,0.0,0.0,GK
148,Axel Werner,53.1,18-19,22,ar ARG,Huesca,es La Liga,6,540,6.0,6,0,8,16,32,17,53.1,1.0,1.0,4,0.0,0.0,GK
149,Gaëtan Poussin,100.0,18-19,19,fr FRA,Bordeaux,fr Ligue 1,1,90,1.0,1,0,37,0,1,1,100.0,1.0,0.0,0,1.0,100.0,GK
150,Fraser Forster,50.0,18-19,30,eng ENG,Southampton,eng Premier League,1,90,1.0,1,0,4,3,6,3,50.0,0.0,0.0,1,0.0,0.0,GK
151,Michael Rensing,67.6,18-19,34,de GER,Düsseldorf,de Bundesliga,32,2880,32.0,32,0,0,62,170,108,67.6,12.0,5.0,15,5.0,15.6,GK
152,Andrea Seculin,41.7,18-19,28,it ITA,Chievo,it Serie A,2,91,1.0,1,1,12,7,12,5,41.7,0.0,0.0,1,0.0,0.0,GK
153,Luca Zidane,33.3,18-19,20,dz ALG,Real Madrid,es La Liga,1,90,1.0,1,0,7,2,3,1,33.3,1.0,0.0,0,0.0,0.0,GK
154,Pavao Pervan,72.5,18-19,30,at AUT,Wolfsburg,de Bundesliga,9,765,8.5,8,1,24,11,40,29,72.5,5.0,1.0,2,1.0,12.5,GK
155,Silvio Proto,69.2,18-19,35,be BEL,Lazio,it Serie A,2,180,2.0,2,0,35,4,13,9,69.2,1.0,0.0,1,0.0,0.0,GK
156,Alexandre Olliero,100.0,18-19,22,fr FRA,Nantes,fr Ligue 1,1,90,1.0,1,0,11,1,1,0,100.0,0.0,0.0,1,0.0,0.0,GK
157,Jaume Doménech,92.3,18-19,27,es ESP,Valencia,es La Liga,4,360,4.0,4,0,31,1,13,12,92.3,2.0,2.0,0,3.0,75.0,GK
158,Stéphane Ruffier,77.7,18-19,31,fr FRA,Saint-Étienne,fr Ligue 1,37,3330,37.0,37,0,1,40,148,107,77.7,19.0,8.0,10,13.0,35.1,GK
159,Joe Hart,65.5,18-19,31,eng ENG,Burnley,eng Premier League,19,1710,19.0,19,0,19,41,116,75,65.5,3.0,3.0,13,4.0,21.1,GK
160,Florian Müller,67.7,18-19,20,de GER,Mainz 05,de Bundesliga,24,2160,24.0,24,0,0,43,124,81,67.7,8.0,3.0,13,5.0,20.8,GK
161,Gregor Kobel,59.0,18-19,20,ch SUI,2 Teams,de Bundesliga,17,1479,16.4,17,0,12,43,100,57,59.0,5.0,2.0,10,3.0,17.6,GK
162,Joel Robles,81.0,18-19,28,es ESP,Betis,es La Liga,5,450,5.0,5,0,33,5,21,16,81.0,2.0,1.0,2,1.0,20.0,GK
